Karl Friedrich Schinkel
Gottfried Semper
Edmund Sharpe
Joseph Lyman Silsbee
Jacob Snyder
John Soane
August Soller
Vasily P. Stasov
J. J. Stevenson
Heinrich Strack
George Edmund Street
William Strickland
Friedrich August Stüler
Louis Sullivan
Henry Tanner
Thomas Alexander Tefft
Thomas Telford
Samuel Sanders Teulon
Konstantin Thon
Clair Tisseur
Ithiel Town
Silvanus Trevail
William Tubby
Richard Upjohn
Calvert Vaux
Eugène Viollet-le-Duc
Otto Wagner
Thomas U. Walter
Alfred Waterhouse
George Webster
John Dodsley Webster
Stanford White
William Wilkins
Frederick Clarke Withers
William Halsey Wood
Thomas Worthington
Thomas Henry Wyatt
Edward Alexander Wyon
Ammi B. Young
Hadži-Neimar
Alvar Aalto
Max Abramovitz
David Adler
Gerard Pieter Adolfs
Charles N. Agree
Walter W. Ahlschlager
Franco Albini
Christopher Alexander
Tadao Ando
Paul Andreu
Edmund Anscombe
Milan Antonović
Siah Armajani
Raul de Armas
João Batista Vilanova Artigas
Hisham N. Ashkouri
Charles Herbert Aslin
Gunnar Asplund
Ian Athfield
Fritz Auer
Gae Aulenti
Carlo Aymonino
Rafiq Azam
Laurie Baker
Sixto Durán Ballén
Lina Bo Bardi
Edward Larrabee Barnes
Howard R. Barr
Luis Barragán
Fred Bassetti
Garry Baverstock
Geoffrey Bawa
Isobel Hogg Kerr Beattie
Welton Becket
Claud Beelman
Adolf Behne
Peter Behrens
Pietro Belluschi
Hendrik Petrus Berlage
Mordechai Benshemesh
Antonio Bilbao La Vieja
Titus de Bobula
Ricardo Bofill
Oriol Bohigas
Gottfried Böhm
J. Max Bond
Dariush Borbor
Mario Botta
Claude Fayette Bragdon
Peter Bransgrove
Marcel Breuer
Halldóra Briem
Gordon Bunshaft
John Burgee
Daniel Burnham
Santiago Calatrava
Peter Calthorpe
Alberto Campo Baeza
Hugh Casson
James Walter Chapman-Taylor
Ethel Charles
Jorge Ferreira Chaves
Ann R. Chaintreuil
Serge Chermayeff
David Chipperfield
Wells Coates
Josep Antoni Coderch
Charles A. Cofield
Coleman Coker
Mary Colter
Peter Cook
Isadore Issie Coop
Isadore Coop
Le Corbusier
Ernest Cormier
Charles Correa
Lúcio Costa
Ralph Adams Cram
Charles Howard Crane
Paul Philippe Cret
Louis Curtiss
Kirtland Cutter
Justus Dahinden
Karl Damschen
Raimondo Tommaso D'Aronco
Jules Gregory
Giancarlo De Carlo
Frederic Joseph DeLongchamps
François Deslaugiers
Jack Diamond
Filipe Oliveira Dias
Theo van Doesburg
B. V. Doshi
Alden B. Dow
Jane Drew
Andrés Duany
Max Dudler
Michael Middleton Dwyer
Willem Marinus Dudok
Arthur Dyson
H. Kempton Dyson
Charles Eames
Ray Eames
John Eberson
Peter Eisenman
George Grant Elmslie
Richard England
Arthur Erickson
Raymond Erith
Aldo van Eyck
Hassan Fathy
Sverre Fehn
Arthur Fehr
Hermann Finsterlin
Theodor Fischer
Harold H. Fisher
Kay Fisker
O'Neil Ford
Mohammad Foyez Ullah
Norman Foster
Yona Friedman
Maxwell Fry
Buckminster Fuller
Ignazio Gardella
Antoni Gaudí
Antoni Gaudi
Giuli Gegelia
Frank Gehry
Haralamb H. Georgescu
Heydar Ghiai
Cass Gilbert
Moisei Ginzburg
Romaldo Giurgola
Hansjörg Göritz
Bruce Goff
Ernő Goldfinger
Teodoro Gonzalez de Leon
Bertram Goodhue
Ferdinand Gottlieb
Noemí Goytia
Noemi Goytia
Giorgio Grassi
Michael Graves
Greene and Greene
Vittorio Gregotti
Walter Burley Griffin
Nicholas Grimshaw
Walter Gropius
Victor Gruen
Hector Guimard
Charles Haertling
William John Hale
Robert Bell Hamilton
Halfdan M. Hanson
Bashirul Haq
Hugo Häring
David M. Harper
Wallace Harrison
Francis R. Heakes
John Hejduk
Herman Hertzberger
Heinz Hess
Fernando Higueras
Ludwig Hilberseimer
Herbert Hirche
Harold Frank Hoar
Florence Fulton Hobson
Charles Holden
Hans Hollein
Raymond Hood
Michael Hopkins
Victor Horta
Edith Hughes
